Treatmentno,Treatment,Naddition,Paddition,Nadd,Padd,Block,Plot,Spname,ST,Snm,STP,Spno,PA,PM,LMA,N,P ,NP,PNUE,PPUE,SP,MP,NP1,RP,SP100,MP100,NP100,RP100
1,CT,0,0,no,no,1,1,C. cyrtophyllum,Cc+CT,Cc,Cc+CT1,1,2.152666667,70.20848444,30.66106161,42.4715011,1.61912847,26.23108782,23.1430196,1344.218854,0.315259767,0.771188059,0.362366887,0.170313758,19.47095443,47.62982511,22.38036659,10.51885387
1,CT,0,0,no,no,2,2,C. cyrtophyllum,Cc+CT,Cc,Cc+CT2,1,7.309333333,174.6890942,41.84195566,32.83368817,0.978011956,33.57186787,74.48591538,5537.112184,0.372315233,0.300860196,0.203826401,0.101010127,38.0685768,30.76242513,20.84089055,10.32810753
1,CT,0,0,no,no,3,3,C. cyrtophyllum,Cc+CT,Cc,Cc+CT3,1,11.59733333,241.9911367,47.92462026,36.79318396,0.934770106,39.36067674,92.07890022,8025.208757,0.285089182,0.406403966,0.164312701,0.078964257,30.49832044,43.47635456,17.5778729,8.44745209
2,N,1,0,yes,no,1,1,C. cyrtophyllum,Cc+N,Cc,Cc+N1,1,8.953666667,244.5138136,36.61824474,42.04990241,1.37396903,30.6046945,81.40787954,5516.811555,0.393147865,0.495977784,0.355354164,0.129489217,28.61402669,36.09817784,25.86333145,9.424464021
2,N,1,0,yes,no,2,2,C. cyrtophyllum,Cc+N,Cc,Cc+N2,1,8.642,288.2077605,29.98531332,45.5777409,1.449252954,31.44912748,88.52805269,6164.859318,0.430567491,0.553081661,0.317731612,0.147872189,29.70961627,38.16322471,21.9238202,10.20333882
2,N,1,0,yes,no,3,3,C. cyrtophyllum,Cc+N,Cc,Cc+N3,1,2.861666667,77.02191219,37.15392913,33.81812033,1.158270826,29.19707513,31.88547324,2061.417092,0.350612939,0.289840919,0.349532185,0.168284783,30.27037643,25.02358793,30.17706892,14.52896671
2,N,1,0,yes,no,4,4,C. cyrtophyllum,Cc+N,Cc,Cc+N4,1,11.953,293.147325,40.77471967,43.41805172,1.372573375,31.63259066,94.52433695,6620.824243,0.384272246,0.54990898,0.320257726,0.118134423,27.99648113,40.06408619,23.33264889,8.606783788
2,N,1,0,yes,no,5,5,C. cyrtophyllum,Cc+N,Cc,Cc+N5,1,12.671,255.698524,49.55445108,37.57381249,1.169509667,32.12783404,95.27325282,6777.758636,0.170621592,0.572655005,0.299524568,0.126708502,14.58915617,48.965393,25.61112378,10.83432705
3,P,0,1,no,yes,1,1,C. cyrtophyllum,Cc+P,Cc,Cc+P1,1,15.58666667,529.0828273,29.45978562,40.83396157,2.487217785,16.41752557,181.3970356,6594.343184,0.300116554,1.367232829,0.603852002,0.2160164,12.06635606,54.97037041,24.2782118,8.685061731
3,P,0,1,no,yes,2,2,C. cyrtophyllum,Cc+P,Cc,Cc+P2,1,8.290333333,287.8172375,28.80415852,44.35451432,2.246040271,19.74787135,90.84625064,3972.473012,0.648206745,1.071810765,0.366229498,0.159793264,28.85997873,47.72001545,16.30556242,7.114443401
